team,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor
WPG,72.0,94.0,84.0,2558.0,812.0,268.0
CBJ,86.0,84.0,88.0,2529.0,692.0,219.0
PIT,80.0,109.0,80.0,2770.0,782.0,258.0
NSH,82.0,92.0,88.0,2519.0,711.0,227.0
VGK,85.0,94.0,83.0,2793.0,756.0,274.0
EDM,70.0,108.0,107.0,2617.0,858.0,289.0
FLA,100.0,123.0,114.0,2752.0,979.0,320.0
OTT,61.0,86.0,77.0,2392.0,764.0,255.0
VAN,96.0,70.0,80.0,2660.0,684.0,233.0
STL,104.0,114.0,91.0,2328.0,775.0,220.0
PHI,66.0,73.0,71.0,2461.0,688.0,254.0
DET,73.0,77.0,77.0,2272.0,673.0,249.0
BUF,80.0,83.0,66.0,2493.0,609.0,176.0
SJS,79.0,67.0,65.0,2443.0,651.0,210.0
COL,111.0,94.0,103.0,2833.0,700.0,287.0
BOS,80.0,88.0,85.0,2919.0,729.0,248.0
NYR,84.0,84.0,82.0,2416.0,627.0,244.0
MTL,80.0,74.0,64.0,2421.0,591.0,221.0
TBL,90.0,103.0,92.0,2463.0,843.0,256.0
LAK,68.0,73.0,94.0,2852.0,803.0,275.0
ANA,75.0,79.0,74.0,2519.0,604.0,203.0
CAR,85.0,104.0,88.0,2863.0,808.0,303.0
DAL,55.0,85.0,93.0,2443.0,759.0,280.0
NYI,84.0,72.0,73.0,2418.0,567.0,226.0
NJD,69.0,98.0,78.0,2591.0,778.0,207.0
WSH,105.0,84.0,81.0,2695.0,658.0,235.0
CGY,94.0,117.0,80.0,2999.0,787.0,236.0
CHI,74.0,79.0,60.0,2385.0,571.0,176.0
TOR,104.0,105.0,103.0,2690.0,922.0,292.0
MIN,112.0,101.0,92.0,2655.0,696.0,238.0
ARI,71.0,74.0,61.0,2231.0,552.0,186.0
SEA,83.0,66.0,64.0,2502.0,612.0,203.0
