game_num,team,team_goals,team_wins,team_shots,league_goals,league_wins,league_shots
1,Colorado Avalanche,4,1,36,3.53,0.62,33.16
2,Colorado Avalanche,7,1,68,6.47,1.03,64.91
3,Colorado Avalanche,10,1,95,9.62,1.66,95.56
4,Colorado Avalanche,11,1,126,12.16,2.09,128.03
5,Colorado Avalanche,14,1,153,14.97,2.5,158.53
6,Colorado Avalanche,15,1,180,18.06,3.03,188.16
7,Colorado Avalanche,19,2,222,20.44,3.53,219.03
8,Colorado Avalanche,23,3,253,23.22,4.09,251.34
9,Colorado Avalanche,27,3,285,26.12,4.53,282.53
10,Colorado Avalanche,29,3,321,28.97,4.97,314.28
11,Colorado Avalanche,36,4,356,32.03,5.44,345.41
12,Colorado Avalanche,42,5,387,35.09,5.94,376.44
13,Colorado Avalanche,46,6,417,37.88,6.44,406.56
14,Colorado Avalanche,53,7,447,41.19,7.03,438.53
15,Colorado Avalanche,60,8,487,43.94,7.53,469.47
16,Colorado Avalanche,65,9,523,46.88,8.03,501.38
17,Colorado Avalanche,66,9,560,49.56,8.47,533.06
18,Colorado Avalanche,72,10,595,52.31,9.09,564.47
19,Colorado Avalanche,75,10,626,54.88,9.47,595.66
20,Colorado Avalanche,79,11,660,57.75,9.97,625.91
21,Colorado Avalanche,84,11,691,60.78,10.44,657.97
22,Colorado Avalanche,91,12,741,63.56,10.88,691.5
23,Colorado Avalanche,98,13,780,67.53,11.47,723.03
24,Colorado Avalanche,105,14,827,70.75,12.03,755.78
25,Colorado Avalanche,108,15,853,73.41,12.53,786.38
26,Colorado Avalanche,112,16,884,76.44,13.06,816.75
27,Colorado Avalanche,114,16,910,79.0,13.44,847.44
28,Colorado Avalanche,117,17,957,82.03,13.97,880.44
29,Colorado Avalanche,122,18,988,84.75,14.5,912.59
30,Colorado Avalanche,127,19,1024,88.12,15.09,943.56
31,Colorado Avalanche,128,19,1053,91.5,15.56,975.03
32,Colorado Avalanche,130,20,1078,94.91,16.06,1007.0
33,Colorado Avalanche,131,20,1125,98.53,16.62,1038.5
34,Colorado Avalanche,135,21,1155,101.47,17.03,1070.38
35,Colorado Avalanche,139,22,1191,105.25,17.62,1102.84
36,Colorado Avalanche,143,23,1224,108.78,18.12,1135.69
37,Colorado Avalanche,150,24,1266,111.78,18.53,1167.66
38,Colorado Avalanche,155,25,1315,115.16,19.06,1199.09
39,Colorado Avalanche,159,26,1350,118.31,19.62,1231.81
40,Colorado Avalanche,163,26,1394,121.41,20.09,1261.78
41,Colorado Avalanche,166,27,1441,124.66,20.59,1291.91
42,Colorado Avalanche,171,28,1473,127.66,21.09,1323.22
43,Colorado Avalanche,174,29,1511,130.81,21.62,1354.38
44,Colorado Avalanche,176,30,1539,133.81,22.12,1385.78
45,Colorado Avalanche,180,31,1566,137.06,22.56,1418.16
46,Colorado Avalanche,183,32,1612,140.12,23.03,1448.56
47,Colorado Avalanche,185,33,1641,142.5,23.5,1479.78
48,Colorado Avalanche,189,34,1682,145.62,24.03,1512.97
49,Colorado Avalanche,195,35,1709,148.75,24.53,1543.62
50,Colorado Avalanche,199,36,1745,152.28,25.12,1576.81
51,Colorado Avalanche,201,37,1785,154.81,25.62,1607.31
52,Colorado Avalanche,207,38,1827,157.91,26.12,1637.75
53,Colorado Avalanche,210,39,1848,160.38,26.47,1667.62
54,Colorado Avalanche,215,40,1891,163.38,26.94,1700.81
55,Colorado Avalanche,216,40,1934,166.94,27.53,1731.28
56,Colorado Avalanche,219,40,1970,170.5,28.0,1763.22
57,Colorado Avalanche,224,41,2019,173.91,28.59,1797.19
58,Colorado Avalanche,227,41,2045,177.12,29.0,1829.69
59,Colorado Avalanche,227,41,2081,180.28,29.53,1862.72
60,Colorado Avalanche,230,42,2113,183.5,30.09,1893.12
61,Colorado Avalanche,233,43,2140,186.56,30.59,1926.72
62,Colorado Avalanche,238,44,2169,189.84,31.16,1959.5
63,Colorado Avalanche,241,45,2200,192.5,31.62,1989.62
64,Colorado Avalanche,242,45,2233,195.75,32.06,2021.28
65,Colorado Avalanche,248,46,2284,199.0,32.53,2053.66
66,Colorado Avalanche,250,46,2326,202.22,33.0,2085.28
67,Colorado Avalanche,252,47,2356,206.34,33.66,2117.84
68,Colorado Avalanche,256,48,2402,209.59,34.12,2149.16
69,Colorado Avalanche,259,49,2440,212.53,34.56,2180.94
70,Colorado Avalanche,265,50,2472,215.94,35.0,2214.06
71,Colorado Avalanche,270,51,2509,218.66,35.47,2245.53
72,Colorado Avalanche,271,51,2543,221.75,36.0,2276.12
73,Colorado Avalanche,280,52,2578,224.94,36.5,2308.41
74,Colorado Avalanche,283,53,2608,227.88,36.91,2340.12
75,Colorado Avalanche,290,54,2645,231.59,37.53,2370.16
76,Colorado Avalanche,292,54,2671,234.78,38.06,2403.03
77,Colorado Avalanche,294,54,2698,237.97,38.5,2435.41
78,Colorado Avalanche,297,54,2735,240.91,39.06,2465.03
79,Colorado Avalanche,298,54,2766,244.5,39.53,2496.16
80,Colorado Avalanche,303,55,2800,247.47,39.97,2528.91
81,Colorado Avalanche,307,56,2846,251.28,40.5,2562.44
82,Colorado Avalanche,308,56,2874,254.69,41.0,2593.22
