team,goalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,goalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst
WPG,250.0,72.0,94.0,84.0,253.0,61.0,98.0,94.0
CBJ,258.0,86.0,84.0,88.0,297.0,98.0,114.0,85.0
PIT,269.0,80.0,109.0,80.0,222.0,69.0,77.0,76.0
NSH,262.0,82.0,92.0,88.0,250.0,77.0,88.0,85.0
VGK,262.0,85.0,94.0,83.0,244.0,80.0,86.0,78.0
EDM,285.0,70.0,108.0,107.0,251.0,84.0,91.0,76.0
FLA,337.0,100.0,123.0,114.0,242.0,72.0,94.0,76.0
OTT,224.0,61.0,86.0,77.0,264.0,68.0,111.0,85.0
VAN,246.0,96.0,70.0,80.0,231.0,74.0,84.0,73.0
STL,309.0,104.0,114.0,91.0,239.0,91.0,78.0,70.0
PHI,210.0,66.0,73.0,71.0,294.0,88.0,104.0,102.0
DET,227.0,73.0,77.0,77.0,310.0,103.0,108.0,99.0
BUF,229.0,80.0,83.0,66.0,287.0,97.0,95.0,95.0
SJS,211.0,79.0,67.0,65.0,261.0,82.0,94.0,85.0
COL,308.0,111.0,94.0,103.0,232.0,77.0,73.0,82.0
BOS,253.0,80.0,88.0,85.0,218.0,68.0,67.0,83.0
NYR,250.0,84.0,84.0,82.0,204.0,74.0,68.0,62.0
MTL,218.0,80.0,74.0,64.0,317.0,96.0,123.0,98.0
TBL,285.0,90.0,103.0,92.0,228.0,65.0,78.0,85.0
LAK,235.0,68.0,73.0,94.0,232.0,66.0,100.0,66.0
ANA,228.0,75.0,79.0,74.0,266.0,98.0,108.0,60.0
CAR,277.0,85.0,104.0,88.0,200.0,61.0,79.0,60.0
DAL,233.0,55.0,85.0,93.0,244.0,92.0,78.0,74.0
NYI,229.0,84.0,72.0,73.0,231.0,91.0,64.0,76.0
NJD,245.0,69.0,98.0,78.0,302.0,112.0,94.0,96.0
WSH,270.0,105.0,84.0,81.0,242.0,81.0,79.0,82.0
CGY,291.0,94.0,117.0,80.0,206.0,68.0,71.0,67.0
CHI,213.0,74.0,79.0,60.0,289.0,119.0,83.0,87.0
TOR,312.0,104.0,105.0,103.0,252.0,77.0,98.0,77.0
MIN,305.0,112.0,101.0,92.0,249.0,71.0,79.0,99.0
ARI,206.0,71.0,74.0,61.0,309.0,114.0,95.0,100.0
SEA,213.0,83.0,66.0,64.0,284.0,84.0,95.0,105.0
