team,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst
WPG,2645.0,993.0,1088.0,4726.0,2558.0,812.0,268.0,2721.0,986.0,1089.0,4796.0,2611.0,806.0,290.0
CBJ,2463.0,977.0,1113.0,4553.0,2529.0,692.0,219.0,2889.0,953.0,1073.0,4915.0,2717.0,857.0,268.0
PIT,2850.0,960.0,1092.0,4902.0,2770.0,782.0,258.0,2577.0,851.0,1094.0,4522.0,2533.0,647.0,248.0
NSH,2440.0,1017.0,1046.0,4503.0,2519.0,711.0,227.0,2647.0,972.0,1160.0,4779.0,2655.0,725.0,239.0
VGK,2830.0,993.0,1241.0,5064.0,2793.0,756.0,274.0,2459.0,898.0,1310.0,4667.0,2384.0,700.0,273.0
EDM,2791.0,973.0,1197.0,4961.0,2617.0,858.0,289.0,2647.0,906.0,1018.0,4571.0,2553.0,776.0,224.0
FLA,3062.0,989.0,1323.0,5374.0,2752.0,979.0,320.0,2515.0,790.0,995.0,4300.0,2284.0,733.0,288.0
OTT,2465.0,946.0,1087.0,4498.0,2392.0,764.0,255.0,2740.0,982.0,1198.0,4920.0,2608.0,856.0,258.0
VAN,2623.0,954.0,1205.0,4782.0,2660.0,684.0,233.0,2612.0,939.0,1176.0,4727.0,2573.0,744.0,234.0
STL,2492.0,831.0,955.0,4278.0,2328.0,775.0,220.0,2591.0,1030.0,1004.0,4625.0,2662.0,739.0,220.0
PHI,2540.0,863.0,1096.0,4499.0,2461.0,688.0,254.0,2786.0,989.0,1234.0,5009.0,2656.0,836.0,283.0
DET,2415.0,779.0,1006.0,4200.0,2272.0,673.0,249.0,2762.0,956.0,1091.0,4809.0,2585.0,865.0,268.0
BUF,2451.0,827.0,959.0,4237.0,2493.0,609.0,176.0,2703.0,934.0,897.0,4534.0,2681.0,705.0,251.0
SJS,2400.0,904.0,1041.0,4345.0,2443.0,651.0,210.0,2622.0,1071.0,1369.0,5062.0,2699.0,758.0,236.0
COL,2874.0,946.0,1339.0,5159.0,2833.0,700.0,287.0,2627.0,882.0,1084.0,4593.0,2561.0,697.0,251.0
BOS,2963.0,933.0,1001.0,4897.0,2919.0,729.0,248.0,2354.0,899.0,1018.0,4271.0,2428.0,605.0,220.0
NYR,2392.0,895.0,986.0,4273.0,2416.0,627.0,244.0,2529.0,982.0,1167.0,4678.0,2624.0,668.0,219.0
MTL,2444.0,789.0,1107.0,4340.0,2421.0,591.0,221.0,2824.0,981.0,1184.0,4989.0,2696.0,820.0,289.0
TBL,2535.0,1027.0,997.0,4559.0,2463.0,843.0,256.0,2442.0,925.0,1044.0,4411.0,2387.0,734.0,246.0
LAK,2866.0,1064.0,1157.0,5087.0,2852.0,803.0,275.0,2343.0,900.0,1091.0,4334.0,2246.0,750.0,247.0
ANA,2395.0,931.0,1073.0,4399.0,2519.0,604.0,203.0,2725.0,1049.0,1122.0,4896.0,2841.0,732.0,201.0
CAR,2798.0,1176.0,1143.0,5117.0,2863.0,808.0,303.0,2310.0,891.0,858.0,4059.0,2310.0,659.0,232.0
DAL,2486.0,996.0,1150.0,4632.0,2443.0,759.0,280.0,2546.0,980.0,1170.0,4696.0,2621.0,699.0,206.0
NYI,2368.0,843.0,1034.0,4245.0,2418.0,567.0,226.0,2670.0,967.0,1235.0,4872.0,2788.0,604.0,245.0
NJD,2562.0,1014.0,1142.0,4718.0,2591.0,778.0,207.0,2540.0,980.0,1021.0,4541.0,2587.0,706.0,227.0
WSH,2578.0,1010.0,1080.0,4668.0,2695.0,658.0,235.0,2380.0,970.0,1150.0,4500.0,2463.0,666.0,221.0
CGY,2909.0,1113.0,1206.0,5228.0,2999.0,787.0,236.0,2375.0,902.0,956.0,4233.0,2469.0,609.0,199.0
CHI,2362.0,770.0,1135.0,4267.0,2385.0,571.0,176.0,2703.0,918.0,1300.0,4921.0,2829.0,579.0,213.0
TOR,2835.0,1069.0,1187.0,5091.0,2690.0,922.0,292.0,2512.0,869.0,972.0,4353.0,2463.0,711.0,207.0
MIN,2669.0,920.0,1142.0,4731.0,2655.0,696.0,238.0,2577.0,939.0,1115.0,4631.0,2642.0,634.0,240.0
ARI,2121.0,848.0,936.0,3905.0,2231.0,552.0,186.0,2910.0,1069.0,1149.0,5128.0,2924.0,774.0,281.0
SEA,2381.0,936.0,1111.0,4428.0,2502.0,612.0,203.0,2367.0,926.0,1031.0,4324.0,2402.0,647.0,244.0
