team,takeawaysFor,giveawaysFor
WPG,580.0,868.0
CBJ,584.0,598.0
PIT,652.0,668.0
NSH,535.0,764.0
VGK,742.0,723.0
EDM,633.0,885.0
FLA,801.0,969.0
OTT,544.0,809.0
VAN,558.0,606.0
STL,617.0,667.0
PHI,470.0,667.0
DET,462.0,629.0
BUF,508.0,620.0
SJS,736.0,710.0
COL,596.0,567.0
BOS,529.0,680.0
NYR,627.0,743.0
MTL,507.0,1046.0
TBL,571.0,482.0
LAK,449.0,592.0
ANA,501.0,764.0
CAR,675.0,849.0
DAL,460.0,820.0
NYI,499.0,858.0
NJD,644.0,815.0
WSH,552.0,638.0
CGY,587.0,871.0
CHI,597.0,738.0
TOR,736.0,867.0
MIN,490.0,571.0
ARI,548.0,796.0
SEA,582.0,633.0
